name,district,division,latitude,longitude,email,phone
"Basail Police Station","Tangail","Dhaka",24.2059,89.9612,isfakiqbal@iut-dhaka.edu,01837121760
"Madhupur Police Station","Tangail","Dhaka",24.2628,89.8868,isfakiqbal@iut-dhaka.edu,01837121760
"Ghatail Police Station","Tangail","Dhaka",24.2497,89.9545,isfakiqbal@iut-dhaka.edu,01837121760
"Kalihati Police Station","Tangail","Dhaka",24.3139,89.9359,isfakiqbal@iut-dhaka.edu,01837121760
"Nagarpur Police Station","Tangail","Dhaka",24.2994,89.8814,isfakiqbal@iut-dhaka.edu,01837121760
"Mirzapur Police Station","Tangail","Dhaka",24.1942,89.8655,isfakiqbal@iut-dhaka.edu,01837121760
"Gopalpur Police Station","Tangail","Dhaka",24.3045,89.8821,isfakiqbal@iut-dhaka.edu,01837121760
"Delduar Police Station","Tangail","Dhaka",24.3245,89.8449,isfakiqbal@iut-dhaka.edu,01837121760
"Bhuapur Police Station","Tangail","Dhaka",24.2251,89.8876,isfakiqbal@iut-dhaka.edu,01837121760
"Dhanbari Police Station","Tangail","Dhaka",24.3180,89.9579,isfakiqbal@iut-dhaka.edu,01837121760
"Narsingdi Sadar Police Station","Narsingdi","Dhaka",23.9322,90.7154,isfakiqbal@iut-dhaka.edu,01837121760
"Belabo Police Station","Narsingdi","Dhaka",23.9034,90.7096,isfakiqbal@iut-dhaka.edu,01837121760
"Monohardi Police Station","Narsingdi","Dhaka",23.9495,90.7674,isfakiqbal@iut-dhaka.edu,01837121760
"Palash Police Station","Narsingdi","Dhaka",23.9764,90.6832,isfakiqbal@iut-dhaka.edu,01837121760
"Raipura Police Station","Narsingdi","Dhaka",23.8681,90.7901,isfakiqbal@iut-dhaka.edu,01837121760
"Shibpur Police Station","Narsingdi","Dhaka",23.8920,90.7099,isfakiqbal@iut-dhaka.edu,01837121760
"Manikganj Sadar Police Station","Manikganj","Dhaka",23.8644,90.0047,isfakiqbal@iut-dhaka.edu,01837121760
"Singair Police Station","Manikganj","Dhaka",23.8759,90.0177,isfakiqbal@iut-dhaka.edu,01837121760
"Shibalaya Police Station","Manikganj","Dhaka",23.9194,90.0048,isfakiqbal@iut-dhaka.edu,01837121760
"Saturia Police Station","Manikganj","Dhaka",23.8492,90.0745,isfakiqbal@iut-dhaka.edu,01837121760
"Harirampur Police Station","Manikganj","Dhaka",23.7945,89.9347,isfakiqbal@iut-dhaka.edu,01837121760
"Ghior Police Station","Manikganj","Dhaka",23.8029,90.0078,isfakiqbal@iut-dhaka.edu,01837121760
"Daulatpur Police Station","Manikganj","Dhaka",23.8290,90.0486,isfakiqbal@iut-dhaka.edu,01837121760
"Munshiganj Sadar Police Station","Munshiganj","Dhaka",23.5422,90.5305,isfakiqbal@iut-dhaka.edu,01837121760
"Sreenagar Police Station","Munshiganj","Dhaka",23.5603,90.5014,isfakiqbal@iut-dhaka.edu,01837121760
"Sirajdikhan Police Station","Munshiganj","Dhaka",23.6152,90.5446,isfakiqbal@iut-dhaka.edu,01837121760
"Louhajang Police Station","Munshiganj","Dhaka",23.6144,90.4991,isfakiqbal@iut-dhaka.edu,01837121760
"Gajaria Police Station","Munshiganj","Dhaka",23.4926,90.5588,isfakiqbal@iut-dhaka.edu,01837121760
"Tongibari Police Station","Munshiganj","Dhaka",23.5614,90.4907,isfakiqbal@iut-dhaka.edu,01837121760
"Faridpur Sadar Police Station","Faridpur","Dhaka",23.6071,89.8429,isfakiqbal@iut-dhaka.edu,01837121760
"Boalmari Police Station","Faridpur","Dhaka",23.5456,89.8695,isfakiqbal@iut-dhaka.edu,01837121760
"Alfadanga Police Station","Faridpur","Dhaka",23.6690,89.8787,isfakiqbal@iut-dhaka.edu,01837121760
"Madhukhali Police Station","Faridpur","Dhaka",23.6263,89.8138,isfakiqbal@iut-dhaka.edu,01837121760
"Bhanga Police Station","Faridpur","Dhaka",23.5434,89.8120,isfakiqbal@iut-dhaka.edu,01837121760
"Nagarkanda Police Station","Faridpur","Dhaka",23.6156,89.9051,isfakiqbal@iut-dhaka.edu,01837121760
"Charbhadrasan Police Station","Faridpur","Dhaka",23.5828,89.9048,isfakiqbal@iut-dhaka.edu,01837121760
"Sadarpur Police Station","Faridpur","Dhaka",23.6665,89.7710,isfakiqbal@iut-dhaka.edu,01837121760
"Saltha Police Station","Faridpur","Dhaka",23.6540,89.8556,isfakiqbal@iut-dhaka.edu,01837121760
"Gopalganj Sadar Police Station","Gopalganj","Dhaka",23.0051,89.8266,isfakiqbal@iut-dhaka.edu,01837121760
"Kashiani Police Station","Gopalganj","Dhaka",22.9789,89.7906,isfakiqbal@iut-dhaka.edu,01837121760
"Kotalipara Police Station","Gopalganj","Dhaka",23.0180,89.9000,isfakiqbal@iut-dhaka.edu,01837121760
"Muksudpur Police Station","Gopalganj","Dhaka",23.0171,89.8556,isfakiqbal@iut-dhaka.edu,01837121760
"Tungipara Police Station","Gopalganj","Dhaka",23.0467,89.7519,isfakiqbal@iut-dhaka.edu,01837121760
"Madaripur Sadar Police Station","Madaripur","Dhaka",23.1641,90.1897,isfakiqbal@iut-dhaka.edu,01837121760
"Kalkini Police Station","Madaripur","Dhaka",23.2261,90.2366,isfakiqbal@iut-dhaka.edu,01837121760
"Rajoir Police Station","Madaripur","Dhaka",23.1331,90.1578,isfakiqbal@iut-dhaka.edu,01837121760
"Shibchar Police Station","Madaripur","Dhaka",23.1524,90.1775,isfakiqbal@iut-dhaka.edu,01837121760
"Rajbari Sadar Police Station","Rajbari","Dhaka",23.7574,89.6445,isfakiqbal@iut-dhaka.edu,01837121760
"Goalanda Police Station","Rajbari","Dhaka",23.7225,89.5916,isfakiqbal@iut-dhaka.edu,01837121760
"Pangsha Police Station","Rajbari","Dhaka",23.7356,89.5932,isfakiqbal@iut-dhaka.edu,01837121760
"Baliakandi Police Station","Rajbari","Dhaka",23.7488,89.6193,isfakiqbal@iut-dhaka.edu,01837121760
"Kalukhali Police Station","Rajbari","Dhaka",23.7174,89.6968,isfakiqbal@iut-dhaka.edu,01837121760
"Shariatpur Sadar Police Station","Shariatpur","Dhaka",23.2423,90.4348,isfakiqbal@iut-dhaka.edu,01837121760
"Naria Police Station","Shariatpur","Dhaka",23.3019,90.3714,isfakiqbal@iut-dhaka.edu,01837121760
"Zajira Police Station","Shariatpur","Dhaka",23.1852,90.5086,isfakiqbal@iut-dhaka.edu,01837121760
"Gosairhat Police Station","Shariatpur","Dhaka",23.2490,90.4566,isfakiqbal@iut-dhaka.edu,01837121760
"Bhedarganj Police Station","Shariatpur","Dhaka",23.2540,90.4893,isfakiqbal@iut-dhaka.edu,01837121760
"Damudya Police Station","Shariatpur","Dhaka",23.2016,90.4960,isfakiqbal@iut-dhaka.edu,01837121760
"Kishoreganj Sadar Police Station","Kishoreganj","Dhaka",24.4449,90.7766,isfakiqbal@iut-dhaka.edu,01837121760
"Hossainpur Police Station","Kishoreganj","Dhaka",24.3993,90.8174,isfakiqbal@iut-dhaka.edu,01837121760
"Pakundia Police Station","Kishoreganj","Dhaka",24.4732,90.7218,isfakiqbal@iut-dhaka.edu,01837121760
"Katiadi Police Station","Kishoreganj","Dhaka",24.3831,90.7410,isfakiqbal@iut-dhaka.edu,01837121760
"Karimganj Police Station","Kishoreganj","Dhaka",24.5013,90.7214,isfakiqbal@iut-dhaka.edu,01837121760
"Tarail Police Station","Kishoreganj","Dhaka",24.5106,90.8494,isfakiqbal@iut-dhaka.edu,01837121760
"Itna Police Station","Kishoreganj","Dhaka",24.4315,90.7323,isfakiqbal@iut-dhaka.edu,01837121760
"Mithamain Police Station","Kishoreganj","Dhaka",24.5030,90.7608,isfakiqbal@iut-dhaka.edu,01837121760
"Austagram Police Station","Kishoreganj","Dhaka",24.3810,90.7071,isfakiqbal@iut-dhaka.edu,01837121760
"Nikli Police Station","Kishoreganj","Dhaka",24.4842,90.8023,isfakiqbal@iut-dhaka.edu,01837121760
"Bajitpur Police Station","Kishoreganj","Dhaka",24.4674,90.7207,isfakiqbal@iut-dhaka.edu,01837121760
"Kuliarchar Police Station","Kishoreganj","Dhaka",24.5146,90.7421,isfakiqbal@iut-dhaka.edu,01837121760
"Bhairab Police Station","Kishoreganj","Dhaka",24.3767,90.8197,isfakiqbal@iut-dhaka.edu,01837121760
"Kotwali Police Station","Chattogram","Chattogram",22.3569,91.7832,isfakiqbal@iut-dhaka.edu,01837121760
"Panchlaish Police Station","Chattogram","Chattogram",22.3203,91.8139,isfakiqbal@iut-dhaka.edu,01837121760
"Double Mooring Police Station","Chattogram","Chattogram",22.3957,91.8399,isfakiqbal@iut-dhaka.edu,01837121760
"Pahartali Police Station","Chattogram","Chattogram",22.3493,91.7625,isfakiqbal@iut-dhaka.edu,01837121760
"Khulshi Police Station","Chattogram","Chattogram",22.3305,91.7884,isfakiqbal@iut-dhaka.edu,01837121760
"Patenga Police Station","Chattogram","Chattogram",22.4156,91.8028,isfakiqbal@iut-dhaka.edu,01837121760
"Halishahar Police Station","Chattogram","Chattogram",22.4028,91.7581,isfakiqbal@iut-dhaka.edu,01837121760
"Bandar Police Station","Chattogram","Chattogram",22.3838,91.8443,isfakiqbal@iut-dhaka.edu,01837121760
"Chandgaon Police Station","Chattogram","Chattogram",22.4144,91.7992,isfakiqbal@iut-dhaka.edu,01837121760
"Karnaphuli Police Station","Chattogram","Chattogram",22.4296,91.7451,isfakiqbal@iut-dhaka.edu,01837121760
"Bakalia Police Station","Chattogram","Chattogram",22.3618,91.7339,isfakiqbal@iut-dhaka.edu,01837121760
"Akbarshah Police Station","Chattogram","Chattogram",22.3400,91.7154,isfakiqbal@iut-dhaka.edu,01837121760
"Bayazid Bostami Police Station","Chattogram","Chattogram",22.3449,91.7828,isfakiqbal@iut-dhaka.edu,01837121760
"EPZ Police Station","Chattogram","Chattogram",22.3842,91.7840,isfakiqbal@iut-dhaka.edu,01837121760
"Sadarghat Police Station","Chattogram","Chattogram",22.4143,91.7445,isfakiqbal@iut-dhaka.edu,01837121760
"Raozan Police Station","Chattogram","Chattogram",22.4010,91.7986,isfakiqbal@iut-dhaka.edu,01837121760
"Rangunia Police Station","Chattogram","Chattogram",22.3057,91.7707,isfakiqbal@iut-dhaka.edu,01837121760
"Fatikchhari Police Station","Chattogram","Chattogram",22.3515,91.8072,isfakiqbal@iut-dhaka.edu,01837121760
"Hathazari Police Station","Chattogram","Chattogram",22.3066,91.8555,isfakiqbal@iut-dhaka.edu,01837121760
"Mirsharai Police Station","Chattogram","Chattogram",22.3486,91.8015,isfakiqbal@iut-dhaka.edu,01837121760
"Sitakunda Police Station","Chattogram","Chattogram",22.3042,91.7097,isfakiqbal@iut-dhaka.edu,01837121760
"Lohagara Police Station","Chattogram","Chattogram",22.3714,91.7318,isfakiqbal@iut-dhaka.edu,01837121760
"Satkania Police Station","Chattogram","Chattogram",22.4262,91.8338,isfakiqbal@iut-dhaka.edu,01837121760
"Boalkhali Police Station","Chattogram","Chattogram",22.3142,91.7191,isfakiqbal@iut-dhaka.edu,01837121760
"Anwara Police Station","Chattogram","Chattogram",22.2925,91.7466,isfakiqbal@iut-dhaka.edu,01837121760
"Banshkhali Police Station","Chattogram","Chattogram",22.4197,91.7099,isfakiqbal@iut-dhaka.edu,01837121760
"Patiya Police Station","Chattogram","Chattogram",22.4280,91.7873,isfakiqbal@iut-dhaka.edu,01837121760
"Sandwip Police Station","Chattogram","Chattogram",22.3928,91.8273,isfakiqbal@iut-dhaka.edu,01837121760
"Bhujpur Police Station","Chattogram","Chattogram",22.3866,91.7867,isfakiqbal@iut-dhaka.edu,01837121760
"Jorarganj Police Station","Chattogram","Chattogram",22.3979,91.7911,isfakiqbal@iut-dhaka.edu,01837121760
"Cox's Bazar Sadar Police Station","Cox's Bazar","Chattogram",21.4272,92.0058,isfakiqbal@iut-dhaka.edu,01837121760
"Chakaria Police Station","Cox's Bazar","Chattogram",21.4263,91.9440,isfakiqbal@iut-dhaka.edu,01837121760
"Maheshkhali Police Station","Cox's Bazar","Chattogram",21.4488,92.0134,isfakiqbal@iut-dhaka.edu,01837121760
"Teknaf Police Station","Cox's Bazar","Chattogram",21.4016,92.0405,isfakiqbal@iut-dhaka.edu,01837121760
"Ramu Police Station","Cox's Bazar","Chattogram",21.4286,91.9821,isfakiqbal@iut-dhaka.edu,01837121760
"Kutubdia Police Station","Cox's Bazar","Chattogram",21.4954,92.0446,isfakiqbal@iut-dhaka.edu,01837121760
"Ukhiya Police Station","Cox's Bazar","Chattogram",21.3759,91.9601,isfakiqbal@iut-dhaka.edu,01837121760
"Pekua Police Station","Cox's Bazar","Chattogram",21.4056,91.9718,isfakiqbal@iut-dhaka.edu,01837121760
"Cumilla Sadar Police Station","Cumilla","Chattogram",23.4607,91.1809,isfakiqbal@iut-dhaka.edu,01837121760
"Laksam Police Station","Cumilla","Chattogram",23.5111,91.2056,isfakiqbal@iut-dhaka.edu,01837121760
"Debidwar Police Station","Cumilla","Chattogram",23.5054,91.1133,isfakiqbal@iut-dhaka.edu,01837121760
"Muradnagar Police Station","Cumilla","Chattogram",23.5332,91.2300,isfakiqbal@iut-dhaka.edu,01837121760
"Daudkandi Police Station","Cumilla","Chattogram",23.3968,91.1305,isfakiqbal@iut-dhaka.edu,01837121760
"Chauddagram Police Station","Cumilla","Chattogram",23.4830,91.1376,isfakiqbal@iut-dhaka.edu,01837121760
"Brahmanpara Police Station","Cumilla","Chattogram",23.5090,91.1455,isfakiqbal@iut-dhaka.edu,01837121760
"Burichang Police Station","Cumilla","Chattogram",23.5275,91.2367,isfakiqbal@iut-dhaka.edu,01837121760
"Chandina Police Station","Cumilla","Chattogram",23.5110,91.1278,isfakiqbal@iut-dhaka.edu,01837121760
"Barura Police Station","Cumilla","Chattogram",23.5181,91.1767,isfakiqbal@iut-dhaka.edu,01837121760
"Monohargonj Police Station","Cumilla","Chattogram",23.5037,91.2341,isfakiqbal@iut-dhaka.edu,01837121760
"Homna Police Station","Cumilla","Chattogram",23.4369,91.1587,isfakiqbal@iut-dhaka.edu,01837121760
"Titas Police Station","Cumilla","Chattogram",23.5314,91.1247,isfakiqbal@iut-dhaka.edu,01837121760
"Meghna Police Station","Cumilla","Chattogram",23.4282,91.1131,isfakiqbal@iut-dhaka.edu,01837121760
"Nangalkot Police Station","Cumilla","Chattogram",23.4750,91.1684,isfakiqbal@iut-dhaka.edu,01837121760
"Sadar South Police Station","Cumilla","Chattogram",23.5333,91.2369,isfakiqbal@iut-dhaka.edu,01837121760
"Brahmanbaria Sadar Police Station","Brahmanbaria","Chattogram",23.9570,91.1119,isfakiqbal@iut-dhaka.edu,01837121760
"Ashuganj Police Station","Brahmanbaria","Chattogram",24.0035,91.1359,isfakiqbal@iut-dhaka.edu,01837121760
"Nasirnagar Police Station","Brahmanbaria","Chattogram",23.8849,91.0658,isfakiqbal@iut-dhaka.edu,01837121760
"Nabinagar Police Station","Brahmanbaria","Chattogram",23.9012,91.0496,isfakiqbal@iut-dhaka.edu,01837121760
"Sarail Police Station","Brahmanbaria","Chattogram",23.9754,91.0389,isfakiqbal@iut-dhaka.edu,01837121760
"Shahbazpur Police Station","Brahmanbaria","Chattogram",23.9018,91.0371,isfakiqbal@iut-dhaka.edu,01837121760
"Kasba Police Station","Brahmanbaria","Chattogram",23.9407,91.0531,isfakiqbal@iut-dhaka.edu,01837121760
"Akhaura Police Station","Brahmanbaria","Chattogram",23.9363,91.1850,isfakiqbal@iut-dhaka.edu,01837121760
"Bancharampur Police Station","Brahmanbaria","Chattogram",23.9457,91.1828,isfakiqbal@iut-dhaka.edu,01837121760
"Bijoynagar Police Station","Brahmanbaria","Chattogram",24.0150,91.1661,isfakiqbal@iut-dhaka.edu,01837121760
"Chandpur Sadar Police Station","Chandpur","Chattogram",23.2333,90.6667,isfakiqbal@iut-dhaka.edu,01837121760
"Faridganj Police Station","Chandpur","Chattogram",23.1714,90.6040,isfakiqbal@iut-dhaka.edu,01837121760
"Haimchar Police Station","Chandpur","Chattogram",23.1779,90.6645,isfakiqbal@iut-dhaka.edu,01837121760
"Haziganj Police Station","Chandpur","Chattogram",23.2351,90.6491,isfakiqbal@iut-dhaka.edu,01837121760
"Kachua Police Station","Chandpur","Chattogram",23.2672,90.6060,isfakiqbal@iut-dhaka.edu,01837121760
"Matlab North Police Station","Chandpur","Chattogram",23.1980,90.7360,isfakiqbal@iut-dhaka.edu,01837121760
"Matlab South Police Station","Chandpur","Chattogram",23.2698,90.6445,isfakiqbal@iut-dhaka.edu,01837121760
"Shahrasti Police Station","Chandpur","Chattogram",23.1949,90.7255,isfakiqbal@iut-dhaka.edu,01837121760
"Feni Sadar Police Station","Feni","Chattogram",23.0186,91.3966,isfakiqbal@iut-dhaka.edu,01837121760
"Daganbhuiyan Police Station","Feni","Chattogram",23.0273,91.4239,isfakiqbal@iut-dhaka.edu,01837121760
"Sonagazi Police Station","Feni","Chattogram",22.9779,91.3551,isfakiqbal@iut-dhaka.edu,01837121760
"Chhagalnaiya Police Station","Feni","Chattogram",22.9529,91.3758,isfakiqbal@iut-dhaka.edu,01837121760
"Parshuram Police Station","Feni","Chattogram",22.9857,91.3272,isfakiqbal@iut-dhaka.edu,01837121760
"Fulgazi Police Station","Feni","Chattogram",23.0826,91.4345,isfakiqbal@iut-dhaka.edu,01837121760
"Noakhali Sadar Police Station","Noakhali","Chattogram",22.8696,91.0993,isfakiqbal@iut-dhaka.edu,01837121760
"Begumganj Police Station","Noakhali","Chattogram",22.9366,91.1613,isfakiqbal@iut-dhaka.edu,01837121760
"Chatkhil Police Station","Noakhali","Chattogram",22.8324,91.1039,isfakiqbal@iut-dhaka.edu,01837121760
"Companiganj Police Station","Noakhali","Chattogram",22.9235,91.0413,isfakiqbal@iut-dhaka.edu,01837121760
"Hatiya Police Station","Noakhali","Chattogram",22.9319,91.0392,isfakiqbal@iut-dhaka.edu,01837121760
"Senbagh Police Station","Noakhali","Chattogram",22.9420,91.0955,isfakiqbal@iut-dhaka.edu,01837121760
"Sonaimuri Police Station","Noakhali","Chattogram",22.9400,91.0484,isfakiqbal@iut-dhaka.edu,01837121760
"Subarnachar Police Station","Noakhali","Chattogram",22.8360,91.1404,isfakiqbal@iut-dhaka.edu,01837121760
"Kabirhat Police Station","Noakhali","Chattogram",22.8095,91.1239,isfakiqbal@iut-dhaka.edu,01837121760
"Lakshmipur Sadar Police Station","Lakshmipur","Chattogram",22.9424,90.8411,isfakiqbal@iut-dhaka.edu,01837121760
"Raipur Police Station","Lakshmipur","Chattogram",22.9532,90.8174,isfakiqbal@iut-dhaka.edu,01837121760
"Ramganj Police Station","Lakshmipur","Chattogram",22.8798,90.8639,isfakiqbal@iut-dhaka.edu,01837121760
"Ramgati Police Station","Lakshmipur","Chattogram",22.9195,90.8812,isfakiqbal@iut-dhaka.edu,01837121760
"Kamalnagar Police Station","Lakshmipur","Chattogram",22.8874,90.8626,isfakiqbal@iut-dhaka.edu,01837121760
"Khagrachhari Sadar Police Station","Khagrachhari","Chattogram",23.1192,91.9841,isfakiqbal@iut-dhaka.edu,01837121760
"Dighinala Police Station","Khagrachhari","Chattogram",23.1514,91.9119,isfakiqbal@iut-dhaka.edu,01837121760
"Panchhari Police Station","Khagrachhari","Chattogram",23.1606,92.0177,isfakiqbal@iut-dhaka.edu,01837121760
"Laxmichhari Police Station","Khagrachhari","Chattogram",23.1591,92.0164,isfakiqbal@iut-dhaka.edu,01837121760
"Mahalchhari Police Station","Khagrachhari","Chattogram",23.0986,91.9422,isfakiqbal@iut-dhaka.edu,01837121760
